Outcome,Message,Identity,Delay,Symbol,StartDate,StartTime,EndDate,EndTime,Open,High,Low,Close,Average,Volume
Success,,,0,XAUUSD,12/01/2015,7:20:00 AM,12/01/2015,7:25:00 AM,1073.23,1073.43,1072.67,1073.05,1073.088,70
Success,,,0,XAUUSD,12/01/2015,7:25:00 AM,12/01/2015,7:30:00 AM,1073.05,1073.83,1072.55,1073.05,1073.203,66
Success,,,0,XAUUSD,12/01/2015,7:30:00 AM,12/01/2015,7:35:00 AM,1072.85,1073.33,1072.55,1073.05,1073.091,60
Success,,,0,XAUUSD,12/01/2015,7:35:00 AM,12/01/2015,7:40:00 AM,1073.05,1073.53,1072.66,1073.45,1073.227,62
Success,,,0,XAUUSD,12/01/2015,7:40:00 AM,12/01/2015,7:45:00 AM,1073.45,1073.53,1072.87,1073.45,1073.332,62
Success,,,0,XAUUSD,12/01/2015,7:45:00 AM,12/01/2015,7:50:00 AM,1072.96,1073.45,1071.97,1072.25,1072.734,62
Success,,,0,XAUUSD,12/01/2015,7:50:00 AM,12/01/2015,7:55:00 AM,1072.43,1072.73,1071.82,1072.5,1072.423,62
Success,,,0,XAUUSD,12/01/2015,7:55:00 AM,12/01/2015,8:00:00 AM,1072.65,1072.83,1071.49,1072.05,1072.351,63
Success,,,0,XAUUSD,12/01/2015,8:00:00 AM,12/01/2015,8:05:00 AM,1072.05,1072.13,1070.4,1070.55,1071.341,65
Success,,,0,XAUUSD,12/01/2015,8:05:00 AM,12/01/2015,8:10:00 AM,1070.65,1071.23,1070.34,1071.05,1070.86,66
Success,,,0,XAUUSD,12/01/2015,8:10:00 AM,12/01/2015,8:15:00 AM,1071.23,1071.93,1070.65,1071.25,1071.338,71
Success,,,0,XAUUSD,12/01/2015,8:15:00 AM,12/01/2015,8:20:00 AM,1071,1071.13,1070.34,1071.05,1070.864,63
Success,,,0,XAUUSD,12/01/2015,8:20:00 AM,12/01/2015,8:25:00 AM,1071.03,1071.65,1070.41,1071.25,1071.077,67
Success,,,0,XAUUSD,12/01/2015,8:25:00 AM,12/01/2015,8:30:00 AM,1071.23,1071.93,1070.66,1071.45,1071.449,59
Success,,,0,XAUUSD,12/01/2015,8:30:00 AM,12/01/2015,8:35:00 AM,1071.73,1071.73,1070.57,1071.25,1071.164,64
Success,,,0,XAUUSD,12/01/2015,8:35:00 AM,12/01/2015,8:40:00 AM,1071.25,1071.45,1070.61,1071.05,1071.082,61
Success,,,0,XAUUSD,12/01/2015,8:40:00 AM,12/01/2015,8:45:00 AM,1071.33,1071.45,1070.67,1071.25,1071.117,60
Success,,,0,XAUUSD,12/01/2015,8:45:00 AM,12/01/2015,8:50:00 AM,1071.33,1071.63,1070.68,1071.05,1071.235,63
Success,,,0,XAUUSD,12/01/2015,8:50:00 AM,12/01/2015,8:55:00 AM,1071.33,1072.25,1070.67,1071.65,1071.62,71
Success,,,0,XAUUSD,12/01/2015,8:55:00 AM,12/01/2015,9:00:00 AM,1071.45,1071.65,1070.61,1071.25,1071.237,63
Success,,,0,XAUUSD,12/01/2015,9:00:00 AM,12/01/2015,9:05:00 AM,1071.25,1071.85,1071.01,1071.65,1071.533,65
Success,,,0,XAUUSD,12/01/2015,9:05:00 AM,12/01/2015,9:10:00 AM,1071.73,1071.93,1071.08,1071.85,1071.499,60
Success,,,0,XAUUSD,12/01/2015,9:10:00 AM,12/01/2015,9:15:00 AM,1071.83,1072.53,1071.45,1072.25,1072.069,66
Success,,,0,XAUUSD,12/01/2015,9:15:00 AM,12/01/2015,9:20:00 AM,1072.43,1073.43,1071.98,1073.25,1072.926,68
Success,,,0,XAUUSD,12/01/2015,9:20:00 AM,12/01/2015,9:25:00 AM,1073.53,1073.63,1072.75,1073.1,1073.23,63
Success,,,0,XAUUSD,12/01/2015,9:25:00 AM,12/01/2015,9:30:00 AM,1073.05,1073.13,1072.03,1072.25,1072.742,66
Success,,,0,XAUUSD,12/01/2015,9:30:00 AM,12/01/2015,9:35:00 AM,1072.43,1072.65,1071.5,1071.5,1072.129,68
Success,,,0,XAUUSD,12/01/2015,9:35:00 AM,12/01/2015,9:40:00 AM,1071.73,1072.13,1071.08,1071.85,1071.663,66
